id,block_height,sequence,memo,time_stamp,sender,receiver,chain,tx_hash,amount,denom,effected
9A37534CF6685439575E7B3657584C4C6E971CBA6542D7E192E3AE7A6BB7EE74-2,13814555,104867,rly(),Wed Jul 31 2024 08:03:00 GMT+0000 (GMT),terra1kkalkv9jc86l709q0c38mjwexaepj354rd8a05,axelar1kkalkv9jc86l709q0c38mjwexaepj354p8t4x4,axelar-dojo-1,9A37534CF6685439575E7B3657584C4C6E971CBA6542D7E192E3AE7A6BB7EE74,1000000,transfer/channel-6/uusdc,0
9A37534CF6685439575E7B3657584C4C6E971CBA6542D7E192E3AE7A6BB7EE74-3,13814555,104868,rly(),Wed Jul 31 2024 08:03:00 GMT+0000 (GMT),terra13gr88ewuzdzssztp5hjsfp6rarw6ju6yxy9vfg,axelar1dv4u5k73pzqrxlzujxg3qp8kvc3pje7jtdvu72npnt5zhq05ejcsn5qme5,axelar-dojo-1,9A37534CF6685439575E7B3657584C4C6E971CBA6542D7E192E3AE7A6BB7EE74,102028965,transfer/channel-6/uusdt,0
9A37AB992A18C1A85EF11218E3D91C5BD38BAD8E1ABC719925B675C45AC857EE-1,13787013,1311229,Inter Blockchain Services Relayer | hermes 1.10.1+7a67ac51 (https://hermes.informal.systems),Mon Jul 29 2024 10:58:00 GMT+0000 (GMT),osmo1mcxv8g2zddfgrux3nu6qj63xgyle3xa6axsrzq,axelar17ndkmh7zdj2ka8kmrd7w9ztra028k9rvqlufu4,axelar-dojo-1,9A37AB992A18C1A85EF11218E3D91C5BD38BAD8E1ABC719925B675C45AC857EE,4000000,transfer/channel-208/uusdc,0
9A3A880A4EBA9E30690ACD96A1692460D67989E4D0F31798D952C1B0C26B3AC6-1,13819186,106037,👾 Relayed by cosmosrescue.com | rly(2.5.2-28-gdf42391),Wed Jul 31 2024 15:36:24 GMT+0000 (GMT),terra1awh0enqpfxstmkawqnhstr5n69p9qaacnfu9fd,axelar19nm8ydv0ddej4cyx5v67x4ypan4vf2wcgdws02,axelar-dojo-1,9A3A880A4EBA9E30690ACD96A1692460D67989E4D0F31798D952C1B0C26B3AC6,20373476,transfer/channel-6/uusdc,0
9A3A880A4EBA9E30690ACD96A1692460D67989E4D0F31798D952C1B0C26B3AC6-2,13819186,106038,👾 Relayed by cosmosrescue.com | rly(2.5.2-28-gdf42391),Wed Jul 31 2024 15:36:24 GMT+0000 (GMT),terra18h7ld57f9whrmwktmz5pecd2pnf9kfqa5n2skp,axelar1dultlt37nav8y6l96y5tzq3ghz7mfr3l8l5h8n,axelar-dojo-1,9A3A880A4EBA9E30690ACD96A1692460D67989E4D0F31798D952C1B0C26B3AC6,400000000,transfer/channel-6/uusdc,0
9A407A20DD912754F7B828C61A52D6940925DA7535387ECF52BF2179D757A018-1,13837298,107592,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Thu Aug 01 2024 21:11:19 GMT+0000 (GMT),terra16smvyxwrrvfy8utsepvfufe5ne8f7atkd4kk4n,axelar1vyeu5ragd53huewj7x44vaq4gvq4shhrp7y6fm,axelar-dojo-1,9A407A20DD912754F7B828C61A52D6940925DA7535387ECF52BF2179D757A018,379079733,transfer/channel-6/uusdc,0
9A4D5902E9954573F239A6F398EFD1739E26F666E84DA3EC05098112E020B048-1,13842925,107738,Relayed with 💜 by Lavender.Five Nodes 🐝 | rly(2.5.2),Fri Aug 02 2024 06:22:45 GMT+0000 (GMT),terra152mq9nfnsmpeak0wydnp8znck6c6a4rtm6azcp,axelar1874rvuf44jpnvxkk32r2pg4ef8rkm0wgqg6tt9,axelar-dojo-1,9A4D5902E9954573F239A6F398EFD1739E26F666E84DA3EC05098112E020B048,2295161911,transfer/channel-6/uusdc,0
9A58FA977C113360E09D190AD19AE136C6CD2CB858B9A0D20441BD2E83441310-1,13819785,106243,👾 Relayed by cosmosrescue.com | rly(2.5.2-28-gdf42391),Wed Jul 31 2024 16:35:00 GMT+0000 (GMT),terra1ajhn3sfkqpqydqz9jd6eg67jeq0pxtkzn9sula,axelar15daedqkhvt64jyldq5674058thgpdrue9rqn46,axelar-dojo-1,9A58FA977C113360E09D190AD19AE136C6CD2CB858B9A0D20441BD2E83441310,10000000,transfer/channel-6/uusdc,0
9A6569F87B276B6763935F99B313AF3D50A7A8875AD75DE76532EA10811A368F-1,13827540,107137,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Thu Aug 01 2024 05:13:52 GMT+0000 (GMT),terra18h7ld57f9whrmwktmz5pecd2pnf9kfqa5n2skp,axelar1dultlt37nav8y6l96y5tzq3ghz7mfr3l8l5h8n,axelar-dojo-1,9A6569F87B276B6763935F99B313AF3D50A7A8875AD75DE76532EA10811A368F,10000000,transfer/channel-6/uusdt,0
9A6F14F9158B0A8E95BD32510FE366FB8CF3505242AF3EBEE45066CC6B0FF5E8-1,13710588,1307382,Relayed by Qubelabs.io | hermes 1.10.0+fc998de4c (https://hermes.informal.systems),Wed Jul 24 2024 05:37:31 GMT+0000 (GMT),osmo1z24llw8lyafczgpza7qzdpmx273c4zxwjgl6qpu8ly34g3g9jd2q6vnd3t,axelar1dv4u5k73pzqrxlzujxg3qp8kvc3pje7jtdvu72npnt5zhq05ejcsn5qme5,axelar-dojo-1,9A6F14F9158B0A8E95BD32510FE366FB8CF3505242AF3EBEE45066CC6B0FF5E8,237669391281579581,transfer/channel-208/wavax-wei,0
9A71A793F1B893C6178F0C8C6D2282E3911F3EA19AB2A767D5BE52ECB9341D10-2,13674381,2134571,Relayed by Validatrium.com | hermes 1.10.0+fc998de (https://hermes.informal.systems),Sun Jul 21 2024 18:05:06 GMT+0000 (GMT),axelar1ehgpg7qr72vglkaqvtc5uu3gfqkjfynmkdge2f,osmo1vkdakqqg5htq5c3wy2kj2geq536q665xdexrtjuwqckpads2c2nsvhhcyv,axelar-dojo-1,9A71A793F1B893C6178F0C8C6D2282E3911F3EA19AB2A767D5BE52ECB9341D10,2660,uaxl,0
9A77DEF71770016FC0BF3575CBE05D24B4C53BECEA9011D6D021891845BE61FF-1,13813293,104288,Relayed by cosmosrescue.com | hermes 1.9.0 (https://hermes.informal.systems),Wed Jul 31 2024 05:58:54 GMT+0000 (GMT),terra1h0k59srhycz34jrltmef9l3u8u7ht28nxdyhvg,axelar1j5mzxyej2rk0v48exukax7tn2w9axq8j97st4z,axelar-dojo-1,9A77DEF71770016FC0BF3575CBE05D24B4C53BECEA9011D6D021891845BE61FF,289409379,transfer/channel-6/uusdt,0
9A905AF140BEB72882CB1BEAE900EE16F515C6A570CDE1279157644F4EBAB0F3-1,13821600,106732,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Wed Jul 31 2024 19:32:58 GMT+0000 (GMT),terra1ajhn3sfkqpqydqz9jd6eg67jeq0pxtkzn9sula,axelar15daedqkhvt64jyldq5674058thgpdrue9rqn46,axelar-dojo-1,9A905AF140BEB72882CB1BEAE900EE16F515C6A570CDE1279157644F4EBAB0F3,10000000,transfer/channel-6/uusdc,0
9A9343EC1FE94C3AD4E0F4D34D7C0FF3E7CE0F3E196963E4D153726E40D0B57A-1,13823524,106903,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Wed Jul 31 2024 22:41:25 GMT+0000 (GMT),terra18h7ld57f9whrmwktmz5pecd2pnf9kfqa5n2skp,axelar1dultlt37nav8y6l96y5tzq3ghz7mfr3l8l5h8n,axelar-dojo-1,9A9343EC1FE94C3AD4E0F4D34D7C0FF3E7CE0F3E196963E4D153726E40D0B57A,10000000,transfer/channel-6/uusdc,0
9A9644F8E4587266EF66661619EEF20D99B99F5868AE8C4FD213C72D0F661FE7-1,13824342,106939,Relayed with 💜 by Lavender.Five Nodes 🐝 | rly(2.5.2),Thu Aug 01 2024 00:01:14 GMT+0000 (GMT),terra14ksr7s5umvc9plkq8y9kgfpk5rqy760rg7f2mm,axelar1mnjxspfef5yr09x8j2tx98gl2rupw032kjgl5s,axelar-dojo-1,9A9644F8E4587266EF66661619EEF20D99B99F5868AE8C4FD213C72D0F661FE7,268401833,transfer/channel-6/uusdc,0
